parametry,min,śr,std,max
"μ=2 σ=0,1","200,00","200,01","0,01","200,03"
"μ=2 σ=0,2","200,02","200,05","0,03","200,12"
"μ=2 σ=0,3","200,13","210,65","6,35","218,99"
"μ=2 σ=0,4","200,90","226,48","20,22","270,98"
"μ=2 σ=0,5","204,09","233,31","27,87","282,38"
"μ=2 σ=0,6","204,90","244,68","35,58","314,31"
"μ=2 σ=0,7","225,43","310,00","138,67","772,21"
"μ=2 σ=0,8","215,62","442,68","435,04","1944,02"
"μ=2 σ=0,9","235,35","435,93","182,91","958,01"
"μ=2 σ=1,0","225,26","636,59","499,88","2198,09"
"μ=2 σ=1,1","228,32","1151,29","1134,87","5280,73"
"μ=2 σ=1,2","368,41","1329,06","1222,74","3955,29"
"μ=2 σ=1,3","550,59","2592,96","2724,59","9619,07"
"μ=2 σ=1,4","281,17","3779,03","3198,10","9764,36"
"μ=2 σ=1,5","1128,51","6266,30","6113,44","19892,82"
"μ=2 σ=1,6","437,30","5491,70","5391,23","22194,83"
"μ=2 σ=1,7","1176,71","8076,01","5926,10","20111,36"
"μ=2 σ=1,8","771,12","7206,57","6483,02","22539,08"
"μ=2 σ=1,9","263,12","9364,22","7173,63","21023,92"
"μ=2 σ=2,0","1483,11","13289,18","9871,69","31799,58"
"μ=2 σ=2,1","630,80","14610,11","13428,69","55823,35"
"μ=2 σ=2,2","5079,81","17494,35","13373,44","55323,99"
"μ=2 σ=2,3","2956,46","40270,17","53212,99","200461,95"
"μ=2 σ=2,4","8806,61","43067,99","25388,52","108890,52"
"μ=2 σ=2,5","8768,78","43783,75","35574,30","142430,19"
"μ=2 σ=2,6","8045,32","57943,94","62794,83","277653,61"
"μ=2 σ=2,7","2920,66","66110,44","79757,12","276953,01"
"μ=2 σ=2,8","7406,21","89997,89","113918,20","468695,75"
"μ=2 σ=2,9","11621,19","79042,30","54180,73","255553,37"
"μ=2 σ=3,0","15945,53","106293,94","100625,20","344016,82"
"μ=4 σ=0,1","200,01","60637,69","120286,62","404596,53"
"μ=4 σ=0,2","200,01","200,02","0,01","200,02"
"μ=4 σ=0,3","200,02","200,05","0,02","200,09"
"μ=4 σ=0,4","200,05","200,66","1,09","203,31"
"μ=4 σ=0,5","200,86","221,33","14,10","240,97"
"μ=4 σ=0,6","201,20","233,04","19,81","277,05"
"μ=4 σ=0,7","201,85","237,33","27,17","280,29"
"μ=4 σ=0,8","201,82","264,74","36,51","319,71"
"μ=4 σ=0,9","208,46","277,16","44,55","338,42"
"μ=4 σ=1,0","203,02","492,39","667,55","2491,50"
"μ=4 σ=1,1","212,86","778,69","932,75","3229,09"
"μ=4 σ=1,2","231,06","2446,29","2755,32","8209,24"
