parametry,min,śr,std,max
"μ=2 σ=0,1","82747175283,18","2906811912597117,00","5444255586710896,00","17089616153048432,00"
"μ=2 σ=0,2","164437162,06","12326293358,75","24383296260,92","77584586547,86"
"μ=2 σ=0,3","4430,70","448668,53","782795,42","3248119,39"
"μ=2 σ=0,4","369,98","2068,49","2218,18","7082,07"
"μ=2 σ=0,5","323,91","1882,26","2182,37","7561,90"
"μ=2 σ=0,6","246,65","2384,90","3088,33","10653,03"
"μ=2 σ=0,7","309,47","3165,49","4065,64","14289,76"
"μ=2 σ=0,8","406,38","4167,73","4988,94","16293,04"
"μ=2 σ=0,9","421,56","4619,21","5355,12","16969,02"
"μ=2 σ=1,0","229,30","7564,33","9381,05","31493,56"
"μ=2 σ=1,1","396,60","9786,72","15041,27","51882,99"
"μ=2 σ=1,2","549,50","19021,45","18420,57","54959,50"
"μ=2 σ=1,3","1509,39","20623,80","24333,53","80470,76"
"μ=2 σ=1,4","1148,37","43980,96","57511,15","208320,54"
"μ=2 σ=1,5","1372,92","48188,42","100268,59","345115,65"
"μ=2 σ=1,6","2069,50","34610,99","34275,79","115948,88"
"μ=2 σ=1,7","3399,86","51550,31","58257,73","178631,90"
"μ=2 σ=1,8","3032,43","79390,79","108011,01","375793,28"
"μ=2 σ=1,9","2432,15","114296,70","194836,03","628705,26"
"μ=2 σ=2,0","1632,44","36569,24","39870,91","152416,73"
"μ=2 σ=2,1","3589,79","230420,55","335402,68","1217127,22"
"μ=2 σ=2,2","20983,71","425786,81","628402,06","2098683,77"
"μ=2 σ=2,3","7161,38","233609,24","312381,84","1094757,05"
"μ=2 σ=2,4","5726,66","686100,75","1585474,25","5420365,08"
"μ=2 σ=2,5","16534,72","560851,27","1295259,82","4440301,36"
"μ=2 σ=2,6","3287,36","343883,04","423386,29","1536835,50"
"μ=2 σ=2,7","12930,16","331003,43","321450,58","1042979,08"
"μ=2 σ=2,8","55846,49","2306649,12","6119336,17","20659135,76"
"μ=2 σ=2,9","20410,95","873188,07","870175,13","2521679,22"
"μ=2 σ=3,0","61587,53","1441005,44","3277436,17","13061090,36"
"μ=4 σ=0,1","15394682760654,32","1115873751795382,12","2063311784078581,25","5359782125073690,00"
"μ=4 σ=0,2","678767,92","52846495505,73","107077514253,78","319752371058,93"
"μ=4 σ=0,3","13782,94","60475499,84","112267574,23","298209860,57"
"μ=4 σ=0,4","4567,73","1751805,06","3557275,08","10905906,33"
"μ=4 σ=0,5","1765,49","137896,40","277455,68","965417,00"
"μ=4 σ=0,6","2527,20","11877,51","15508,74","45765,55"
"μ=4 σ=0,7","2863,63","4449,68","1504,45","8030,28"
"μ=4 σ=0,8","2836,63","5843,85","2184,62","10812,23"
"μ=4 σ=0,9","1794,14","9407,88","5191,03","23744,17"
"μ=4 σ=1,0","2066,44","9515,89","5727,53","20396,21"
"μ=4 σ=1,1","5081,89","11914,73","5160,46","24337,72"
"μ=4 σ=1,2","2119,70","13523,46","6019,56","23511,58"
"μ=4 σ=1,3","2702,90","16217,35","6977,53","24930,95"
"μ=4 σ=1,4","4313,74","13944,00","5835,20","23371,85"
"μ=4 σ=1,5","3142,65","19088,07","8657,76","38689,62"
"μ=4 σ=1,6","2952,49","20098,83","8984,84","36777,62"
"μ=4 σ=1,7","3945,61","21176,25","9732,88","35054,63"
"μ=4 σ=1,8","3157,77","24613,99","13151,85","63604,87"
"μ=4 σ=1,9","3621,14","34237,39","23066,55","108093,51"
"μ=4 σ=2,0","6033,65","33576,32","21475,04","79011,22"
"μ=4 σ=2,1","3661,60","91150,72","100230,47","369199,30"
"μ=4 σ=2,2","3222,69","63197,53","67492,52","285592,40"
"μ=4 σ=2,3","22355,75","62032,09","49945,91","177683,12"
"μ=4 σ=2,4","9184,04","109174,77","194752,29","854996,40"
"μ=4 σ=2,5","17593,51","98219,78","74111,86","277904,49"
"μ=4 σ=2,6","5391,99","85888,18","142673,75","523186,27"
"μ=4 σ=2,7","19764,00","108066,49","120537,33","412505,12"
"μ=4 σ=2,8","7730,46","149128,18","222918,26","889547,54"
"μ=4 σ=2,9","8967,33","133994,39","172088,41","717436,56"
"μ=4 σ=3,0","17471,06","192096,86","186872,03","526977,45"
"μ=8 σ=0,1","234228636145,39","1300312072154515,50","2214747967279988,00","5250016624344285,00"
"μ=8 σ=0,2","2027216186,16","19086171132168,80","34304547014405,83","117061955055141,50"
"μ=8 σ=0,3","1703501,45","1288718139,56","2355744360,86","11800430825,91"
"μ=8 σ=0,4","95904,71","53438430,46","95085544,47","262461278,61"
"μ=8 σ=0,5","365,42","6987830,79","12657104,83","38078574,92"
"μ=8 σ=0,6","213,60","166615,07","345373,36","1283161,65"
"μ=8 σ=0,7","217,20","5623,61","16310,47","111651,86"
"μ=8 σ=0,8","203,59","644,12","813,22","2957,76"
"μ=8 σ=0,9","217,90","442,36","359,91","1399,30"
"μ=8 σ=1,0","219,65","459,79","415,02","1602,40"
"μ=8 σ=1,1","214,79","574,83","569,37","2175,19"
"μ=8 σ=1,2","213,44","487,12","510,59","1986,85"
